COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Kenya,KEN,AFRO,REPORTING,19/02/2023,23359310,14317039,43.442,26.626,10947863,20.36,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",05/03/2021,5,1890699,3.516
Kiribati,KIR,WPRO,REPORTING,06/02/2023,219980,100900,184.162,84.471,81474,68.208,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV",26/05/2021,2,37606,31.483
Kosovo,XKX,EURO,REPORTING,15/01/2023,1836901,904558,102.3,50.375,824752,45.93,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",31/03/2021,2,105624,5.882
Kuwait,KWT,EMRO,REPORTING,26/02/2023,8258689,3456358,193.386,80.934,3344861,78.324,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",28/12/2020,10,1457470,34.128
Kyrgyzstan,KGZ,EURO,REPORTING,05/02/2023,3076723,1494334,47.2,22.905,1318588,20.211,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,RIBSP - QazVac",31/03/2021,6,263801,4.043
Lao People's Democratic Republic,LAO,WPRO,REPORTING,19/01/2023,15053397,6290492,206.904,86.461,5648517,77.637,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",25/11/2020,8,2359576,32.432
Latvia,LVA,EURO,REPORTING,05/02/2023,2975895,1344069,156,70.456,1304447,68.379,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",30/12/2020,5,549914,28.826
Lebanon,LBN,EMRO,REPORTING,22/12/2022,5814699,2740227,85.192,40.147,2414223,35.371,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",14/02/2021,10,660249,9.673
Lesotho,LSO,AFRO,REPORTING,19/02/2023,1319497,1008145,61.594,47.06,932730,43.54,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",10/03/2021,3,167263,7.808
Liberia,LBR,AFRO,REPORTING,11/12/2022,4460668,3903802,88.196,77.186,3730967,73.768,SII - Covishield,01/04/2021,1,1987,0.039
Libya,LBY,EMRO,REPORTING,16/01/2023,3739158,2316327,54.417,33.71,1236102,17.989,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",11/04/2021,10,186729,2.718
Liechtenstein,LIE,OTHER,REPORTING,10/04/2022,71104,26681,183.5,68.86,26346,67.995,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",06/01/2021,3,18310,47.255
Lithuania,LTU,EURO,REPORTING,05/02/2023,4529963,1956039,162.1,70.16,1906557,68.235,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Unknown Vaccine",23/12/2020,5,901618,32.269
Luxembourg,LUX,EURO,REPORTING,05/02/2023,1336688,469234,213.5,74.945,462629,73.89,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Moderna – Spikevax Bivalent Original/Omicron BA.1,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.1,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.4/BA.5",30/12/2020,8,368315,58.826
Madagascar,MDG,AFRO,REPORTING,19/02/2023,2652348,2313010,9.578,8.353,2236386,8.076,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",10/05/2021,3,126788,0.458
Malawi,MWI,AFRO,REPORTING,12/02/2023,7159342,4950288,37.425,25.877,3945109,20.623,"Janssen - Ad26.COV 2-S,SII - Covishield",11/03/2021,2,1832738,9.58
Malaysia,MYS,WPRO,REPORTING,22/01/2023,72498692,28125196,223.996,86.897,27536594,85.079,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",24/02/2021,8,16296842,50.352
Maldives,MDV,SEARO,REPORTING,12/02/2023,951511,399225,176.028,73.856,385099,71.243,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",01/02/2021,8,167187,30.929
Mali,MLI,AFRO,REPORTING,12/02/2023,4792566,3539968,23.666,17.481,2897530,14.308,SII - Covishield,31/03/2021,1,,
Malta,MLT,EURO,REPORTING,05/02/2023,1279922,450505,248.7,87.551,444882,86.458,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",23/12/2020,4,352543,68.513
Marshall Islands,MHL,WPRO,REPORTING,28/12/2022,85198,45627,143.93,77.08,39571,66.85,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",29/12/2020,3,18559,31.353
Martinique,MTQ,AMRO,REPORTING,10/02/2023,400507,150563,106.726,40.122,145300,38.719,Pfizer BioNTech - Comirnaty,,1,92694,24.701
Mauritania,MRT,AFRO,REPORTING,19/02/2023,4066473,2100089,87.457,45.167,1537717,33.072,"Beijing CNBG - BBIBP-CorV,SII - Covishield",26/03/2021,2,382966,8.236
Mauritius,MUS,AFRO,REPORTING,19/02/2023,2614136,1123773,205.551,88.363,1088142,85.561,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,SII - Covishield",26/01/2021,3,639939,50.319
Mexico,MEX,AMRO,REPORTING,10/02/2023,225063079,99071001,174.558,76.839,81849962,63.483,"AstraZeneca - Vaxzevria,CanSino - Convidecia,CIGB - CIGB-66,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",24/12/2020,8,57026630,44.23
Micronesia (Federated States of),FSM,WPRO,REPORTING,20/08/2022,170346,70204,148.097,61.035,66174,57.531,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",13/01/2021,4,30537,26.549
Monaco,MCO,EURO,REPORTING,04/12/2022,71027,25319,181,64.517,24933,63.533,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax - Covavax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",30/06/2021,7,17806,45.373
Mongolia,MNG,WPRO,REPORTING,03/02/2023,5667281,2283906,172.873,69.668,2185119,66.654,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",23/02/2021,6,1058393,32.285
Montenegro,MNE,EURO,REPORTING,04/12/2022,523735,272152,83.4,43.763,251583,40.456,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,Unknown Vaccine",24/02/2021,5,0,0
Montserrat,MSR,AMRO,REPORTING,10/02/2023,4619,2104,92.398,42.088,1952,39.048,AstraZeneca - Vaxzevria,08/02/2021,1,563,11.262
Morocco,MAR,EMRO,REPORTING,26/02/2023,55382185,25018888,150.044,67.782,23520330,63.722,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",28/01/2021,10,6880292,18.64
Mozambique,MOZ,AFRO,REPORTING,29/01/2023,29457535,18641485,94.248,59.642,18466955,59.084,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",08/03/2021,3,1083523,3.467
Myanmar,MMR,SEARO,REPORTING,18/06/2022,64549994,34777314,118.637,63.917,27545329,50.626,"Beijing CNBG - BBIBP-CorV,SII - Covishield",27/01/2021,2,2227351,4.094
Namibia,NAM,AFRO,REPORTING,19/02/2023,981339,609369,38.622,23.982,532266,20.948,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",19/03/2021,4,106977,4.21
Nauru,NRU,WPRO,REPORTING,17/11/2022,31128,12077,287.318,111.473,11346,104.726,"AstraZeneca - Vaxzevria,SII - Covishield",09/04/2021,2,7705,71.119
Nepal,NPL,SEARO,REPORTING,14/02/2023,60976433,27718158,209.276,95.131,24232876,83.169,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",27/01/2021,8,9025399,30.976
Netherlands,NLD,EURO,REPORTING,11/09/2022,36105753,12776868,207.4,73.398,11957152,68.689,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",06/01/2021,6,9417108,54.098
New Caledonia,NCL,WPRO,REPORTING,03/01/2023,478127,192206,167.471,67.323,184645,64.675,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",20/01/2021,2,101276,35.473
New Zealand,NZL,WPRO,REPORTING,17/02/2023,11983204,4246279,248.499,88.056,4088741,84.789,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",19/02/2021,4,2717728,56.358
Nicaragua,NIC,AMRO,REPORTING,10/02/2023,12228537,6216083,184.594,93.834,6012454,90.76,"AstraZeneca - Vaxzevria,CIGB - CIGB-66,Finlay - Soberana Plus,Finlay - Soberana-02,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",03/03/2021,9,,
Niger,NER,AFRO,REPORTING,29/01/2023,7241942,6124474,29.917,25.301,5360404,22.144,"Beijing CNBG - BBIBP-CorV,SII - Covishield",29/03/2021,2,,
Nigeria,NGA,AFRO,REPORTING,05/02/2023,111985403,79248347,54.325,38.444,66717081,32.365,SII - Covishield,05/03/2021,1,10859974,5.268
Niue,NIU,WPRO,REPORTING,18/10/2022,4920,1636,304.079,101.112,1634,100.989,Pfizer BioNTech - Comirnaty,08/06/2021,1,1224,75.649
North Macedonia,MKD,EURO,REPORTING,08/01/2023,1862732,854479,89.4,41.155,838085,40.365,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",17/02/2021,7,161593,7.783
Northern Mariana Islands (Commonwealth of the),MNP,WPRO,REPORTING,04/11/2022,116159,46466,201.816,80.73,45012,78.204,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",19/12/2020,3,24235,42.106
Norway,NOR,EURO,REPORTING,05/02/2023,12309228,4346314,229.3,80.973,4061198,75.662,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",23/12/2020,4,3016667,56.202
occupied Palestinian territory,PSE,EMRO,REPORTING,18/10/2022,3748571,2012767,73.481,39.455,1776973,34.833,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",02/02/2021,10,336967,6.605
Oman,OMN,EMRO,REPORTING,25/10/2022,7086050,3257365,138.762,63.787,3048826,59.703,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",29/12/2020,11,779859,15.272
Pakistan,PAK,EMRO,REPORTING,23/02/2023,333662084,162218112,151.052,73.438,139227429,63.03,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",03/02/2021,11,50114329,22.687
Palau,PLW,WPRO,REPORTING,21/11/2022,53177,20100,293.925,111.099,18285,101.067,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",03/01/2021,3,12866,71.114
Panama,PAN,AMRO,REPORTING,10/02/2023,8756680,3526529,202.947,81.732,3168992,73.445,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",20/01/2021,2,1765117,40.909
Papua New Guinea,PNG,WPRO,REPORTING,19/02/2023,514031,373949,5.745,4.18,313330,3.502,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",30/03/2021,4,33174,0.371
Paraguay,PRY,AMRO,REPORTING,10/02/2023,9568675,3985466,134.155,55.877,3541521,49.653,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Julphar - Hayat-Vax,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",22/02/2021,8,1661358,23.293
Peru,PER,AMRO,REPORTING,10/02/2023,87438452,30248547,265.191,91.741,28482025,86.383,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",09/02/2021,4,21883549,66.37
Philippines,PHL,WPRO,REPORTING,16/02/2023,170457489,78459295,155.554,71.599,74019226,67.547,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Julphar - Hayat-Vax,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",01/03/2021,11,21642800,19.75
Pitcairn Islands,PCN,WPRO,REPORTING,28/02/2022,138,55,276,110,37,74,AstraZeneca - Vaxzevria,17/05/2021,1,23,46
Poland,POL,EURO,REPORTING,05/02/2023,58053683,22948930,152.9,60.459,22673397,59.733,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",23/12/2020,5,12495941,32.92
Portugal,PRT,EURO,REPORTING,05/02/2023,27685253,9779268,268.9,95.134,8893419,86.378,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Moderna – Spikevax Bivalent Original/Omicron BA.1,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.1,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.4/BA.5,Sinovac - CoronaVac",23/12/2020,11,7042682,68.403
Puerto Rico,PRI,AMRO,REPORTING,10/02/2023,7791994,2901878,272.366,101.434,2683965,93.817,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",,4,1799536,62.902
Qatar,QAT,EMRO,REPORTING,26/02/2023,7607265,2851698,264.045,98.981,2851698,98.981,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",,10,1903869,66.082
Republic of Korea,KOR,WPRO,REPORTING,10/01/2023,136127066,44867343,265.514,87.513,44448097,86.696,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",26/02/2021,5,33646923,65.628
Republic of Moldova,MDA,EURO,REPORTING,05/02/2023,2278699,1106705,56.5,27.435,1075874,26.67,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",03/03/2021,7,397541,9.855
Romania,ROU,EURO,REPORTING,05/02/2023,16104824,8186546,83.3,42.354,8140616,42.116,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",27/01/2021,4,1767276,9.143
Russian Federation,RUS,EURO,OWID,06/02/2023,184547820,87965577,126.5,60.277,79118841,54.215,"SRCVB - EpiVacCorona, Gamaleya - Sputnik V",,2,,
Rwanda,RWA,AFRO,REPORTING,01/01/2023,26106436,10572981,201.56,81.631,9897876,76.418,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",05/03/2021,7,5879013,45.39
Saba,XCA,AMRO,REPORTING,10/02/2023,4961,1687,256.648,87.274,1667,86.239,,,,1169,60.476
"Saint Helena, Ascension and Tristan da Cunha",SHN,AFRO,OWID,05/05/2021,7892,4361,129.995,71.833,3531,58.162,AstraZeneca - AZD1222,,1,,
Saint Kitts and Nevis,KNA,AMRO,REPORTING,10/02/2023,64297,33794,120.877,63.532,27000,50.76,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,SII - Covishield",22/02/2021,3,3465,6.514
Saint Lucia,LCA,AMRO,REPORTING,10/02/2023,122977,60140,66.971,32.751,54971,29.936,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",17/02/2021,5,7866,4.284
Saint Vincent and the Grenadines,VCT,AMRO,REPORTING,10/02/2023,73374,37502,66.138,33.804,31610,28.493,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Pfizer BioNTech - Comirnaty,SII - Covishield",01/02/2021,5,4262,3.842
Samoa,WSM,WPRO,REPORTING,09/12/2022,449369,191162,226.48,96.345,177714,89.567,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",18/04/2021,2,79313,39.973
San Marino,SMR,EURO,REPORTING,22/05/2022,69338,26357,204.3,76.501,23633,68.595,"Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty",24/02/2021,2,19348,56.158
Sao Tome and Principe,STP,AFRO,REPORTING,25/12/2022,228291,127564,104.167,58.206,103963,47.437,"AstraZeneca - Vaxzevria,SII - Covishield",15/03/2021,2,33180,15.14
Saudi Arabia,SAU,EMRO,REPORTING,04/12/2022,68148406,26951666,195.751,77.416,25351683,72.821,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",06/01/2021,10,15845057,45.514
Senegal,SEN,AFRO,REPORTING,12/02/2023,2928086,2684696,17.487,16.034,1438733,8.593,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",23/02/2021,3,815965,4.873
Serbia,SRB,EURO,REPORTING,20/11/2022,6719835,3396720,97,49.038,3323115,47.975,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",23/12/2020,5,0,0
Seychelles,SYC,AFRO,REPORTING,29/01/2023,220018,85825,223.716,87.268,81732,83.106,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Julphar - Hayat-Vax,SII - Covishield",10/01/2021,4,44936,45.691
Sierra Leone,SLE,AFRO,REPORTING,19/02/2023,6820857,4693903,85.507,58.843,3846676,48.222,"Beijing CNBG - BBIBP-CorV,SII - Covishield",15/03/2021,2,508698,6.377
Singapore,SGP,WPRO,REPORTING,07/02/2023,14898648,5159864,254.663,88.198,5120688,87.528,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",30/12/2020,4,4618096,78.937
Sint Eustatius,XBA,AMRO,REPORTING,10/02/2023,4318,1791,137.56,57.056,1686,53.711,,,,767,24.435
Sint Maarten,SXM,AMRO,REPORTING,10/02/2023,67068,29788,156.401,69.465,26749,62.378,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",22/02/2021,3,9131,21.293
Slovakia,SVK,EURO,REPORTING,05/02/2023,7219030,2839160,132.3,52.02,2790858,51.135,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",23/12/2020,7,1685878,30.889
Slovenia,SVN,EURO,REPORTING,05/02/2023,3021521,1227875,144.2,58.586,1197479,57.135,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",23/12/2020,6,653791,31.194
Solomon Islands,SLB,WPRO,REPORTING,30/01/2023,766518,328182,111.594,47.778,237917,34.637,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,SII - Covishield",23/03/2021,4,23623,3.439
Somalia,SOM,EMRO,REPORTING,02/01/2023,8726329,7729842,54.906,48.636,6529808,41.085,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",16/03/2021,11,,
South Africa,ZAF,AFRO,REPORTING,25/12/2022,38050611,23970891,64.157,40.417,21038797,35.473,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",17/02/2021,2,3877516,6.538
South Sudan,SSD,AFRO,REPORTING,19/02/2023,3062073,3011783,27.355,26.906,2969804,26.531,"Janssen - Ad26.COV 2-S,SII - Covishield",06/04/2021,2,,
Spain,ESP,EURO,REPORTING,05/02/2023,112304453,41316806,237.3,87.29,37475580,79.175,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",30/12/2020,4,26496555,55.979
Sri Lanka,LKA,SEARO,REPORTING,30/10/2022,40116590,17143761,187.345,80.061,14752827,68.896,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",29/01/2021,6,8220002,38.387
Sudan,SDN,EMRO,REPORTING,21/02/2023,18425870,12579213,42.021,28.687,10540038,24.037,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",09/03/2021,11,2754272,6.281
Suriname,SUR,AMRO,REPORTING,10/02/2023,554588,267820,94.538,45.654,237879,40.55,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",23/02/2021,5,48889,8.334
Sweden,SWE,EURO,REPORTING,05/02/2023,23340793,7511960,226,72.737,7374040,71.401,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",23/12/2020,5,5574294,53.975
Switzerland,CHE,EURO,REPORTING,05/02/2023,16734587,6095608,193.4,70.829,5721588,66.483,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Moderna – Spikevax Bivalent Original/Omicron BA.1,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.1",23/12/2020,6,4977516,57.838
Syrian Arab Republic,SYR,EMRO,REPORTING,16/01/2023,4971203,3209797,28.406,18.341,2257085,12.897,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",01/04/2021,11,75881,0.434
Tajikistan,TJK,EURO,REPORTING,04/12/2022,18871161,5311967,197.9,55.695,5170582,54.212,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",24/03/2021,6,5200841,54.53
