COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Canada,CAN,AMRO,REPORTING,10/02/2023,93390727,32640355,247.444,86.482,31286621,82.896,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",14/12/2020,5,19719223,52.247
Cayman Islands,CYM,AMRO,REPORTING,10/02/2023,150816,61859,229.483,94.125,60589,92.193,Pfizer BioNTech - Comirnaty,15/01/2021,1,24064,36.616
Central African Republic,CAF,AFRO,REPORTING,22/01/2023,2535002,2292088,52.487,47.458,2176684,45.068,"Bharat - Covaxin,SII - Covishield",19/03/2021,2,214090,4.433
Chad,TCD,AFRO,REPORTING,19/02/2023,6368186,6229416,38.769,37.924,6101839,37.148,Beijing CNBG - BBIBP-CorV,04/06/2021,1,1941942,11.822
Chile,CHL,AMRO,REPORTING,10/02/2023,64599073,18088517,337.928,94.624,17700117,92.592,"AstraZeneca - Vaxzevria,CanSino - Convidecia,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",21/12/2020,5,15723241,82.251
China,CHN,WPRO,REPORTING,29/11/2022,3465113661,1307511577,235.516,88.869,1277356924,86.819,"Anhui ZL - Zifivax,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,IMB - Covidful,Pfizer BioNTech - Comirnaty,Shenzhen - LV-SMENP-DC,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",22/07/2020,8,804850776,54.704
Colombia,COL,AMRO,REPORTING,10/02/2023,90210929,42959468,177.291,84.428,36948604,72.615,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",17/02/2021,5,14675916,28.843
Comoros,COM,AFRO,REPORTING,02/10/2022,835021,438825,96.023,50.463,397080,45.662,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,SII - Covishield",10/04/2021,3,,
Congo,COG,AFRO,REPORTING,31/07/2022,833210,695760,15.1,12.609,654119,11.854,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,SII - Covishield",23/03/2021,4,,
Cook Islands,COK,WPRO,REPORTING,10/05/2022,39612,15020,225.529,85.516,14676,83.557,Pfizer BioNTech - Comirnaty,17/05/2021,1,9916,56.456
