Date,ISO Week,Reporting week,Time (A),State,LGA,Village,Road,Lat,Long,Description,Incident type,Incident Category,Threat Category,Perpetrator,Target,Fatality
01/02/2021,1,01.01.2021 - 07.01.2021,U/N,BORNO,DAMBOA,BULAMA ISAMARI, ,11.267499,12.146639,GF/NAF conducted airstrikes against a suspected OAG camp. They killed at least two operatives and destroyed OAG buildings.,Airstrike,Attack,Armed Conflict,Government Forces,OAG,0
01/02/2021,1,01.01.2021 - 07.01.2021,U/N,BORNO,BAMA,KOTE KURA, ,11.415599,14.048,GF/NAF conducted airstrikes against a suspected OAG camp. They killed at least two operatives and destroyed OAG buildings.,Airstrike,Attack,Armed Conflict,Government Forces,OAG,0
01/03/2021,2,01.01.2021 - 07.01.2021,01:00,BORNO,DIKWA,DIKWA, ,12.0388,13.910499,Criminals armed with machetes **knife attack* attack* and sticks infiltrated this area and robbed occupants of foodstuff and valuables. They also injured a shop owner who resisted.,Armed Robbery,Theft,Criminality,Criminals,Civilians,7
01/03/2021,2,01.01.2021 - 07.01.2021,01:00,BORNO,DIKWA,DIKWA, ,12.03488,13.9187,Criminals entered IDP shelters and *theft / mugging* jewelries and other valuables.,Theft/Mugging,Theft,Criminality,Criminals,Civilians,0
01/03/2021,2,01.01.2021 - 07.01.2021,01:00,ADAMAWA,DEMSA,DEMSA, ,9.466667,12.149999,"Four criminals armed with sticks, knives and machetes **knife attack* attack* attempted to rob two male civilians in a hotel. The criminals injured one civilian after he resisted.",Armed Robbery,Theft,Criminality,Criminals,Civilians,0
01/03/2021,2,01.01.2021 - 07.01.2021,02:00,ADAMAWA,DEMSA,FARAI, ,9.4454,12.115599,"Four criminals armed with sticks, knives and machetes **knife attack* attack* *burglary* into a residence and robbed the male occupant of money and valuables, and injured him as he resisted  resistance.",Armed Robbery,Theft,Criminality,Criminals,Civilians,0
01/03/2021,2,01.01.2021 - 07.01.2021,03:00,ADAMAWA,MUBI NORTH,MUBI, ,10.265959,13.27225,Criminals *burlary* a residence and *theft / mugging* a mobile phone and money while the occupants were asleep.,Burglary,Theft,Criminality,Criminals,Civilians,0
01/03/2021,2,01.01.2021 - 07.01.2021,04:00,YOBE,POTISKUM,POTISKUM, ,11.712255,11.076274,Criminals *burlary* a residence and *theft / mugging* mobile phones.,Burglary,Theft,Criminality,Criminals,Civilians,0
01/03/2021,2,01.01.2021 - 07.01.2021,10:00,BORNO,NGANZAI,GASARWA,MONGUNO - GAJIRAM RD,12.61835,13.33203,OAG operatives with rifles set up an *IVCP* along this road. They stopped several commercial vehicles in transit and robbed the passengers of money and other valuables.,IVCP,Theft,Terrorism,OAG,Civilians,0
01/03/2021,2,01.01.2021 - 07.01.2021,10:00,BORNO,NGANZAI,JIGALTA LAWANTI,MONGUNO - GAJIRAM RD,12.601189,13.318349,"OAG operatives with rifles set up an *IVCP* along this road. They stopped several commercial vehicles in transit and robbed the passengers of money and other valuables. Subsequently, the operatives carjacked three vehicles and Kidnap/Kidnap/Abductionion the drivers and two female passengers.",IVCP,Confine,Terrorism,OAG,Civilians,0
01/03/2021,2,01.01.2021 - 07.01.2021,11:00,BORNO,MOBBAR,LUMBURAM, ,13.2242,12.5555,GF/NAF conducted airstrikes against suspected OAG structures. Casualties are unknown.,Airstrike,Attack,Armed Conflict,Government Forces,OAG,0
01/03/2021,2,01.01.2021 - 07.01.2021,11:00,BORNO,GUBIO,NGORTOWA, ,12.4554,12.6552,"OAG operatives with rifles on motorcycles entered residences, robbed civilians of foodstuff, money and valuables. The operatives *cattle rustling* before they left the area.",Cattle rustling,Theft,Terrorism,OAG,Civilians,0
01/03/2021,2,01.01.2021 - 07.01.2021,13:00,BORNO,GUBIO,NGETRA, ,12.578924,12.684315,OAG operatives with rifles on motorcycles entered the area and *cattle rustling*.,Cattle rustling,Theft,Terrorism,OAG,Civilians,0
01/03/2021,2,01.01.2021 - 07.01.2021,14:00,BORNO,KONDUGA,GALTIMARI, ,11.685799,13.3963,OAG operatives with rifles shot sporadically at civilians fetching firewood in the area which prompted them to flee. No casualties or Kidnap/Abductionions reported.,Kidnap/Abduction,Attack,Terrorism,OAG,Civilians,0
01/03/2021,2,01.01.2021 - 07.01.2021,18:00,BORNO,CHIBOK,KWAMTIYAHI, ,10.861499,12.9622,"OAG operatives with rifles aboard vehicles entered this area and set on fire residences and three civilian vehicles and subsequently *looting* foodstuff and valuables. Shortly after, GF/NA reinforcement deployed and exchanged fire with them for several minutes until the GF retreated. During the armed clash, the operatives reportedly killed four GF members. One female civilian died after her residence was set on fire by the operatives while she was still inside.",Looting,Attack,Terrorism,OAG,Civilians,7
01/04/2021,2,01.01.2021 - 07.01.2021,00:00,YOBE,GUJBA,BUNI YADI, ,11.283599,12.008299,"A male criminal *burlary* a residence and *theft / mugging* a bicycle while the occupants were asleep. As he was leaving, nearby vigilantes sighted and apprehended *arrest* *arrest* him, and recovered the bicycle. The criminal was handed over to GF/NPF.",Burglary,Theft,Criminality,Criminals,Civilians,0
01/04/2021,2,01.01.2021 - 07.01.2021,07:00,BORNO,GWOZA,PULKA, ,11.224957,13.781282,Three OAG operatives' family members (two women and a boy) approached a GF/CJTF position and surrendered. They arrived from Bala Ibrahim area of the Sambisa forest.,Surrender,Rule,Armed Conflict,OAG,Government Forces,0
01/04/2021,2,01.01.2021 - 07.01.2021,08:00,BORNO,KONDUGA,NGAURAMARI,KONDUGA - BAMA RD,11.53182,13.63409,GF/NA on patrol recovered an OAG road-planted IED and safely disposed of it via controlled detonation.,IED/UXO/ERW recovery,Rule,Armed Conflict,Government Forces,OAG,0
01/04/2021,2,01.01.2021 - 07.01.2021,08:00,ADAMAWA,NUMAN,NUMAN, ,9.459844,12.035928,A male criminal *burlary* a residence and *theft / mugging* valuables.,Burglary,Theft,Criminality,Criminals,Civilians,0
01/04/2021,2,01.01.2021 - 07.01.2021,08:00,BORNO,KONDUGA,GARIN KUTURU,MAIDUGURI - NGAMDU RD,11.8507,12.86172,"OAG operatives with rifles set up an *IVCP* along the road. They stopped several commercial vehicles in transit, asked for passengers’ identification and subsequently allowed the passengers to continue the journey.",IVCP,Confine,Terrorism,OAG,Civilians,0
01/04/2021,2,01.01.2021 - 07.01.2021,09:00,BORNO,ABADAM,MALLAM FATORI, ,13.674594,13.339516,GF/NA on patrol along a secondary road recovered an  ISWAP  road-planted IED and safely disposed of it via controlled detonation. On 05.01.2021 ISWAP freed a claim via Amaq indicating that the IED had exploded killing nine GF members.,IED/UXO/ERW recovery,Rule,Armed Conflict,Government Forces,OAG,0
01/04/2021,2,01.01.2021 - 07.01.2021,13:00,BORNO,GUZAMALA,ALJARI,MONGUNO - GAJIRAM RD,12.674469,13.396269,"OAG operatives with rifles set up an *IVCP* along this road. They stopped several commercial vehicles in transit and robbed the passengers of money and other valuables. Subsequently, the operatives carjacked a vehicle conveying foodstuff.",IVCP,Theft,Terrorism,OAG,Civilians,0
